target,source
Aarden 1975,Steinert 1965
Stoller 1975,Aarden 1975
Aarden 1981,Aarden 1975
Tan 1982,Stoller 1975
Tan 1982,Deegan 1978
Stienmetz 1984,Deegan 1978
Deng 1985,Deegan 1978
Deng 1985,Deng 1984
Konstantinov 1987,Aarden 1975
Feltkamp 1988,Smeenk 1986
Borg 1990,Aarden 1975
Borg 1990,Tan 1982
Borg 1990,Feltkamp 1988
Smeenk 1991,Aarden 1975
Smeenk 1991,Stoller 1975
Smeenk 1991,Aarden 1981
Smeenk 1991,Smeenk 1986
Smeenk 1991,Borg 1990
Werle 1992,Aarden 1975
Werle 1992,Tan 1982
Werle 1992,Deng 1984
Werle 1992,Deng 1985
Werle 1992,Smeenk 1986
Werle 1992,Borg 1990
Werle 1992,Smeenk 1991
Kurien 2006,Aarden 1975
Kurien 2006,Werle 1992
Kurien 2006,Sawalha 2004
Tonutti 2008,Aarden 1975
Tonutti 2008,Konstantinov 1987
Hamann 2014,Stoller 1975
Hamann 2014,Tan 1982
Lokta 2019,Borg 1990
Lokta 2019,Hamann 2014
